Ticker,adv
APLD,23329103.225806452
BE,11573253.225806452
BTDR,9067874.193548387
BW,3716722.580645161
CBRS,8916003.125
CLSK,21852620.967741936
CORZ,14052575.806451613
CRWV,30932666.129032258
HIVE,27791487.096774194
IREN,44875470.96774194
MU,51513564.51612903
NBIS,17381533.870967742
PUMP,4720908.064516129
RIOT,17711879.032258064
SEI,2327325.806451613
SNDK,13831953.225806452
STM,12236506.451612903
TE,31717424.19354839
TSM,13647396.774193548
VSH,6244111.29032258
WYFI,1758880.6451612904
